Using device: cuda
Output directory: experiments/emender_1p3b_cma/heldout/leveltyped-gdn2-lm_100m_20260611_191934
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 1,287,942,344 parameters
Using schedule-free AdamW (lr=0.0011083449181198209)

Starting training from step 0...
Batch size: 2, Chunk size: 2048
Gradient accumulation: 1, Effective batch: 2

Time-based training: 15.0 min budget (from process start). Init took 21.4s, 878.6s remaining for training.
step   1060 | loss 5.6878 | lr 1.11e-03 | grad 1.37 | tok/s 6918 | elapsed_h 0.184 | time 2026-06-11T19:30:31+00:00
step   1070 | loss 5.9097 | lr 1.11e-03 | grad 1.59 | tok/s 6912 | elapsed_h 0.186 | time 2026-06-11T19:30:37+00:00
step   1080 | loss 5.3781 | lr 1.11e-03 | grad 1.55 | tok/s 6925 | elapsed_h 0.187 | time 2026-06-11T19:30:43+00:00
step   1090 | loss 5.5724 | lr 1.11e-03 | grad 1.12 | tok/s 6921 | elapsed_h 0.189 | time 2026-06-11T19:30:49+00:00
step   1100 | loss 5.3847 | lr 1.11e-03 | grad 1.75 | tok/s 6915 | elapsed_h 0.191 | time 2026-06-11T19:30:55+00:00
step   1110 | loss 5.7862 | lr 1.11e-03 | grad 2.41 | tok/s 6932 | elapsed_h 0.192 | time 2026-06-11T19:31:01+00:00
step   1120 | loss 5.9022 | lr 1.11e-03 | grad 1.45 | tok/s 6920 | elapsed_h 0.194 | time 2026-06-11T19:31:07+00:00
step   1130 | loss 5.6738 | lr 1.11e-03 | grad 1.23 | tok/s 6935 | elapsed_h 0.196 | time 2026-06-11T19:31:13+00:00
step   1140 | loss 5.6992 | lr 1.11e-03 | grad 1.66 | tok/s 6932 | elapsed_h 0.197 | time 2026-06-11T19:31:19+00:00
step   1150 | loss 5.7113 | lr 1.11e-03 | grad 2.62 | tok/s 6920 | elapsed_h 0.199 | time 2026-06-11T19:31:25+00:00
step   1160 | loss 5.6688 | lr 1.11e-03 | grad 1.73 | tok/s 6917 | elapsed_h 0.201 | time 2026-06-11T19:31:31+00:00
step   1170 | loss 5.6459 | lr 1.11e-03 | grad 2.39 | tok/s 6917 | elapsed_h 0.202 | time 2026-06-11T19:31:37+00:00
step   1180 | loss 5.3482 | lr 1.11e-03 | grad 1.93 | tok/s 6930 | elapsed_h 0.204 | time 2026-06-11T19:31:43+00:00
step   1190 | loss 5.6618 | lr 1.11e-03 | grad 1.55 | tok/s 6943 | elapsed_h 0.206 | time 2026-06-11T19:31:49+00:00
step   1200 | loss 5.8342 | lr 1.11e-03 | grad 1.57 | tok/s 6948 | elapsed_h 0.207 | time 2026-06-11T19:31:55+00:00
step   1210 | loss 5.3691 | lr 1.11e-03 | grad 1.64 | tok/s 6927 | elapsed_h 0.209 | time 2026-06-11T19:32:01+00:00
step   1220 | loss 5.6137 | lr 1.11e-03 | grad 1.98 | tok/s 6939 | elapsed_h 0.211 | time 2026-06-11T19:32:07+00:00
step   1230 | loss 5.3598 | lr 1.11e-03 | grad 2.55 | tok/s 6941 | elapsed_h 0.212 | time 2026-06-11T19:32:13+00:00
step   1240 | loss 5.5054 | lr 1.11e-03 | grad 2.23 | tok/s 6914 | elapsed_h 0.214 | time 2026-06-11T19:32:19+00:00
step   1250 | loss 5.5464 | lr 1.11e-03 | grad 1.19 | tok/s 6945 | elapsed_h 0.216 | time 2026-06-11T19:32:25+00:00
step   1260 | loss 5.7251 | lr 1.11e-03 | grad 1.66 | tok/s 6948 | elapsed_h 0.217 | time 2026-06-11T19:32:31+00:00
step   1270 | loss 5.5337 | lr 1.11e-03 | grad 1.21 | tok/s 6937 | elapsed_h 0.219 | time 2026-06-11T19:32:37+00:00
step   1280 | loss 5.6431 | lr 1.11e-03 | grad 1.75 | tok/s 6938 | elapsed_h 0.220 | time 2026-06-11T19:32:42+00:00
step   1290 | loss 6.1458 | lr 1.11e-03 | grad 3.89 | tok/s 6941 | elapsed_h 0.222 | time 2026-06-11T19:32:48+00:00
step   1300 | loss 5.5569 | lr 1.11e-03 | grad 1.29 | tok/s 6922 | elapsed_h 0.224 | time 2026-06-11T19:32:54+00:00
step   1310 | loss 5.3463 | lr 1.11e-03 | grad 1.66 | tok/s 6919 | elapsed_h 0.225 | time 2026-06-11T19:33:00+00:00
step   1320 | loss 5.5124 | lr 1.11e-03 | grad 1.27 | tok/s 6940 | elapsed_h 0.227 | time 2026-06-11T19:33:06+00:00
step   1330 | loss 5.5787 | lr 1.11e-03 | grad 2.20 | tok/s 6935 | elapsed_h 0.229 | time 2026-06-11T19:33:12+00:00
step   1340 | loss 5.6019 | lr 1.11e-03 | grad 3.25 | tok/s 6922 | elapsed_h 0.230 | time 2026-06-11T19:33:18+00:00
step   1350 | loss 5.5680 | lr 1.11e-03 | grad 1.22 | tok/s 6934 | elapsed_h 0.232 | time 2026-06-11T19:33:24+00:00
step   1360 | loss 5.7189 | lr 1.11e-03 | grad 1.08 | tok/s 6946 | elapsed_h 0.234 | time 2026-06-11T19:33:30+00:00
step   1370 | loss 5.5649 | lr 1.11e-03 | grad 1.36 | tok/s 6940 | elapsed_h 0.235 | time 2026-06-11T19:33:36+00:00
step   1380 | loss 5.5454 | lr 1.11e-03 | grad 1.95 | tok/s 6924 | elapsed_h 0.237 | time 2026-06-11T19:33:42+00:00
step   1390 | loss 5.5434 | lr 1.11e-03 | grad 1.59 | tok/s 6917 | elapsed_h 0.239 | time 2026-06-11T19:33:48+00:00
step   1400 | loss 5.6285 | lr 1.11e-03 | grad 2.09 | tok/s 6920 | elapsed_h 0.240 | time 2026-06-11T19:33:54+00:00
step   1410 | loss 5.5713 | lr 1.11e-03 | grad 1.29 | tok/s 6920 | elapsed_h 0.242 | time 2026-06-11T19:34:00+00:00
step   1420 | loss 5.5318 | lr 1.11e-03 | grad 1.15 | tok/s 6940 | elapsed_h 0.244 | time 2026-06-11T19:34:06+00:00
step   1430 | loss 5.7131 | lr 1.11e-03 | grad 1.24 | tok/s 6924 | elapsed_h 0.245 | time 2026-06-11T19:34:12+00:00
step   1440 | loss 5.6307 | lr 1.11e-03 | grad 1.14 | tok/s 6915 | elapsed_h 0.247 | time 2026-06-11T19:34:18+00:00
step   1450 | loss 5.4271 | lr 1.11e-03 | grad 1.30 | tok/s 6916 | elapsed_h 0.249 | time 2026-06-11T19:34:24+00:00
FINAL_HELDOUT_CE: 6.2866
FINAL_HELDOUT_BPB: 2.4079

Training complete! Final step: 1458
FINAL_LOSS_LAST100: 5.7993
PEAK_MEMORY_MB: 20349
RESERVED_MEMORY_MB: 25364
