Using device: cuda
Output directory: paper/review/wl_lm/gdn2_mlp_ref/leveltyped-gdn2-lm_100m_20260607_154554
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 131,755,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step   1450 | loss 6.5773 | lr 3.00e-04 | grad 1.77 | tok/s 60447 | elapsed_h 0.069 | time 2026-06-07T15:49:56+00:00
step   1460 | loss 6.5490 | lr 3.00e-04 | grad 2.09 | tok/s 60669 | elapsed_h 0.070 | time 2026-06-07T15:49:57+00:00
step   1470 | loss 6.5426 | lr 3.00e-04 | grad 1.73 | tok/s 60690 | elapsed_h 0.070 | time 2026-06-07T15:49:59+00:00
step   1480 | loss 6.5749 | lr 3.00e-04 | grad 1.86 | tok/s 60738 | elapsed_h 0.070 | time 2026-06-07T15:50:00+00:00
step   1490 | loss 6.5925 | lr 3.00e-04 | grad 1.83 | tok/s 60730 | elapsed_h 0.071 | time 2026-06-07T15:50:01+00:00
step   1500 | loss 6.5589 | lr 3.00e-04 | grad 3.30 | tok/s 60626 | elapsed_h 0.071 | time 2026-06-07T15:50:03+00:00
  >>> validation loss: 8.9525
step   1510 | loss 6.5185 | lr 3.00e-04 | grad 2.11 | tok/s 15166 | elapsed_h 0.073 | time 2026-06-07T15:50:08+00:00
step   1520 | loss 6.5288 | lr 3.00e-04 | grad 1.87 | tok/s 60700 | elapsed_h 0.073 | time 2026-06-07T15:50:09+00:00
step   1530 | loss 6.6258 | lr 3.00e-04 | grad 1.89 | tok/s 60715 | elapsed_h 0.073 | time 2026-06-07T15:50:11+00:00
step   1540 | loss 6.5908 | lr 3.00e-04 | grad 1.76 | tok/s 60637 | elapsed_h 0.074 | time 2026-06-07T15:50:12+00:00
step   1550 | loss 6.6508 | lr 3.00e-04 | grad 1.95 | tok/s 60587 | elapsed_h 0.074 | time 2026-06-07T15:50:14+00:00
step   1560 | loss 6.5520 | lr 3.00e-04 | grad 1.95 | tok/s 60602 | elapsed_h 0.074 | time 2026-06-07T15:50:15+00:00
step   1570 | loss 6.5322 | lr 3.00e-04 | grad 1.78 | tok/s 60635 | elapsed_h 0.075 | time 2026-06-07T15:50:16+00:00
step   1580 | loss 6.4520 | lr 3.00e-04 | grad 1.66 | tok/s 60638 | elapsed_h 0.075 | time 2026-06-07T15:50:18+00:00
step   1590 | loss 6.5227 | lr 3.00e-04 | grad 1.92 | tok/s 60655 | elapsed_h 0.076 | time 2026-06-07T15:50:19+00:00
step   1600 | loss 6.4350 | lr 3.00e-04 | grad 1.92 | tok/s 60605 | elapsed_h 0.076 | time 2026-06-07T15:50:20+00:00
step   1610 | loss 6.5445 | lr 3.00e-04 | grad 1.78 | tok/s 60587 | elapsed_h 0.076 | time 2026-06-07T15:50:22+00:00
step   1620 | loss 6.5163 | lr 3.00e-04 | grad 1.75 | tok/s 60718 | elapsed_h 0.077 | time 2026-06-07T15:50:23+00:00
step   1630 | loss 6.4708 | lr 3.00e-04 | grad 1.81 | tok/s 60533 | elapsed_h 0.077 | time 2026-06-07T15:50:24+00:00
step   1640 | loss 6.4123 | lr 3.00e-04 | grad 1.62 | tok/s 60484 | elapsed_h 0.077 | time 2026-06-07T15:50:26+00:00
step   1650 | loss 6.5118 | lr 3.00e-04 | grad 1.68 | tok/s 60498 | elapsed_h 0.078 | time 2026-06-07T15:50:27+00:00
