step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
2990,12247040,3.67425e+16,1.8278,1.3846,1.9975,2.69779e+15
3000,12288000,3.68654e+16,1.3329,1.3810,1.9924,2.70578e+15
3010,12328960,3.69883e+16,0.9909,1.3783,1.9885,2.71402e+15
3020,12369920,3.71112e+16,1.2971,1.3768,1.9863,2.72262e+15
3030,12410880,3.7234e+16,1.4248,1.3787,1.9891,2.73218e+15
3040,12451840,3.73569e+16,1.4299,1.3799,1.9907,2.74153e+15
3050,12492800,3.74798e+16,1.3763,1.3842,1.9970,2.75181e+15
3060,12533760,3.76027e+16,1.2827,1.3820,1.9939,2.7602e+15
3070,12574720,3.77256e+16,1.5910,1.3866,2.0004,2.77055e+15
3080,12615680,3.78485e+16,1.3172,1.3863,1.9999,2.77948e+15
3090,12656640,3.79713e+16,1.3451,1.3872,2.0014,2.7888e+15
3100,12697600,3.80942e+16,1.5066,1.3868,2.0008,2.7977e+15
3110,12738560,3.82171e+16,1.1941,1.3836,1.9962,2.80578e+15
3120,12779520,3.834e+16,0.9139,1.3718,1.9791,2.81127e+15
3130,12820480,3.84629e+16,1.4026,1.3718,1.9791,2.82029e+15
3140,12861440,3.85858e+16,1.1012,1.3651,1.9695,2.82731e+15
3150,12902400,3.87087e+16,1.0964,1.3574,1.9583,2.83398e+15
3160,12943360,3.88315e+16,1.3202,1.3579,1.9591,2.84315e+15
3170,12984320,3.89544e+16,1.4286,1.3590,1.9606,2.85246e+15
3180,13025280,3.90773e+16,1.4009,1.3551,1.9550,2.86029e+15
3190,13066240,3.92002e+16,1.1027,1.3517,1.9501,2.86825e+15
3200,13107200,3.93231e+16,1.1732,1.3471,1.9435,2.87585e+15
3210,13148160,3.9446e+16,1.3263,1.3437,1.9386,2.8838e+15
3220,13189120,3.95688e+16,2.2456,1.3625,1.9657,2.89852e+15
3230,13230080,3.96917e+16,1.7579,1.3744,1.9828,2.91118e+15
3240,13271040,3.98146e+16,1.5310,1.3733,1.9812,2.91986e+15
3250,13312000,3.99375e+16,1.4292,1.3703,1.9770,2.92796e+15
3260,13352960,4.00604e+16,1.3785,1.3720,1.9793,2.93747e+15
3270,13393920,4.01833e+16,1.3349,1.3688,1.9748,2.9455e+15
3280,13434880,4.03062e+16,1.2961,1.3730,1.9808,2.95582e+15
3290,13475840,4.0429e+16,1.2621,1.3659,1.9705,2.96259e+15
3300,13516800,4.05519e+16,1.2444,1.3632,1.9666,2.97074e+15
3310,13557760,4.06748e+16,1.2385,1.3635,1.9671,2.97985e+15
3320,13598720,4.07977e+16,1.2250,1.3606,1.9629,2.98794e+15
3330,13639680,4.09206e+16,1.2205,1.3624,1.9655,2.99751e+15
3340,13680640,4.10435e+16,1.6133,1.3793,1.9900,3.01191e+15
3350,13721600,4.11663e+16,1.3544,1.3730,1.9809,3.01891e+15
3360,13762560,4.12892e+16,1.3448,1.3677,1.9731,3.0262e+15
3370,13803520,4.14121e+16,1.3488,1.3679,1.9734,3.03527e+15
3380,13844480,4.1535e+16,1.5306,1.3692,1.9754,3.04472e+15
3390,13885440,4.16579e+16,1.3854,1.3726,1.9802,3.05481e+15
3400,13926400,4.17808e+16,1.1320,1.3669,1.9720,3.06197e+15
3410,13967360,4.19037e+16,1.0302,1.3596,1.9615,3.06862e+15
3420,14008320,4.20265e+16,1.3969,1.3580,1.9592,3.0771e+15
3430,14049280,4.21494e+16,1.3781,1.3546,1.9543,3.08498e+15
3440,14090240,4.22723e+16,1.4484,1.3584,1.9598,3.09523e+15
3450,14131200,4.23952e+16,1.2525,1.3567,1.9573,3.10367e+15
3460,14172160,4.25181e+16,1.4983,1.3608,1.9632,3.114e+15
3470,14213120,4.2641e+16,1.2617,1.3603,1.9625,3.12284e+15
3480,14254080,4.27638e+16,1.3877,1.3542,1.9537,3.12982e+15
3490,14295040,4.28867e+16,1.2249,1.3421,1.9363,3.13482e+15
3500,14336000,4.30096e+16,1.1013,1.3375,1.9296,3.14227e+15
3510,14376960,4.31325e+16,1.3565,1.3448,1.9401,3.15368e+15
3520,14417920,4.32554e+16,1.4047,1.3470,1.9432,3.16338e+15
3530,14458880,4.33783e+16,1.4782,1.3480,1.9448,3.17272e+15
3540,14499840,4.35012e+16,1.5430,1.3503,1.9481,3.18247e+15
3550,14540800,4.3624e+16,1.8938,1.3606,1.9630,3.19495e+15
3560,14581760,4.37469e+16,1.4708,1.3644,1.9684,3.20523e+15
3570,14622720,4.38698e+16,1.3706,1.3600,1.9621,3.21273e+15
3580,14663680,4.39927e+16,1.1695,1.3570,1.9578,3.22073e+15
3590,14704640,4.41156e+16,1.0508,1.3512,1.9493,3.22772e+15
3600,14745600,4.42385e+16,1.3521,1.3481,1.9448,3.23565e+15
3610,14786560,4.43613e+16,1.5113,1.3544,1.9540,3.24681e+15
3620,14827520,4.44842e+16,1.2259,1.3606,1.9630,3.25795e+15
3630,14868480,4.46071e+16,1.4461,1.3615,1.9643,3.26725e+15
