step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
3040,12451840,3.65118e+16,1.3427,1.2994,1.8746,2.65686e+15
3050,12492800,3.66319e+16,1.3275,1.3037,1.8808,2.66681e+15
3060,12533760,3.6752e+16,1.1909,1.3008,1.8767,2.67476e+15
3070,12574720,3.68721e+16,1.4879,1.3046,1.8821,2.68455e+15
3080,12615680,3.69922e+16,1.2989,1.3053,1.8832,2.69351e+15
3090,12656640,3.71123e+16,1.2724,1.3064,1.8848,2.70257e+15
3100,12697600,3.72324e+16,1.4472,1.3062,1.8845,2.71126e+15
3110,12738560,3.73525e+16,1.1166,1.3050,1.8827,2.71965e+15
3120,12779520,3.74727e+16,0.8257,1.2927,1.8650,2.72489e+15
3130,12820480,3.75928e+16,1.2811,1.2915,1.8632,2.73326e+15
3140,12861440,3.77129e+16,1.0244,1.2850,1.8538,2.74012e+15
3150,12902400,3.7833e+16,1.0333,1.2777,1.8433,2.74676e+15
3160,12943360,3.79531e+16,1.2552,1.2781,1.8439,2.75558e+15
3170,12984320,3.80732e+16,1.3543,1.2788,1.8450,2.76452e+15
3180,13025280,3.81933e+16,1.3352,1.2772,1.8426,2.77276e+15
3190,13066240,3.83134e+16,1.0497,1.2744,1.8385,2.78067e+15
3200,13107200,3.84335e+16,1.0688,1.2689,1.8306,2.78778e+15
3210,13148160,3.85536e+16,1.2490,1.2657,1.8260,2.79556e+15
3220,13189120,3.86737e+16,2.2117,1.2850,1.8539,2.80995e+15
3230,13230080,3.87938e+16,1.8676,1.3009,1.8769,2.82338e+15
3240,13271040,3.89139e+16,1.5819,1.3018,1.8781,2.83237e+15
3250,13312000,3.9034e+16,1.4564,1.3013,1.8774,2.84099e+15
3260,13352960,3.91541e+16,1.3913,1.3046,1.8821,2.8507e+15
3270,13393920,3.92742e+16,1.3316,1.3034,1.8804,2.85909e+15
3280,13434880,3.93943e+16,1.2918,1.3094,1.8890,2.86964e+15
3290,13475840,3.95144e+16,1.2387,1.3042,1.8816,2.87682e+15
3300,13516800,3.96345e+16,1.2248,1.3027,1.8794,2.8851e+15
3310,13557760,3.97546e+16,1.2164,1.3039,1.8811,2.89421e+15
3320,13598720,3.98747e+16,1.1984,1.3015,1.8777,2.90224e+15
3330,13639680,3.99948e+16,1.1961,1.3059,1.8840,2.9123e+15
3340,13680640,4.0115e+16,1.5387,1.3243,1.9105,2.9267e+15
3350,13721600,4.02351e+16,1.2995,1.3179,1.9013,2.93349e+15
3360,13762560,4.03552e+16,1.2978,1.3142,1.8960,2.94112e+15
3370,13803520,4.04753e+16,1.2923,1.3148,1.8968,2.95004e+15
3380,13844480,4.05954e+16,1.4628,1.3162,1.8988,2.95923e+15
3390,13885440,4.07155e+16,1.3327,1.3199,1.9042,2.96916e+15
3400,13926400,4.08356e+16,1.0552,1.3142,1.8960,2.97612e+15
3410,13967360,4.09557e+16,0.9423,1.3079,1.8869,2.98291e+15
3420,14008320,4.10758e+16,1.2921,1.3053,1.8831,2.99083e+15
3430,14049280,4.11959e+16,1.3325,1.3028,1.8796,2.99879e+15
3440,14090240,4.1316e+16,1.3881,1.3064,1.8848,3.00868e+15
3450,14131200,4.14361e+16,1.1991,1.3050,1.8827,3.01697e+15
3460,14172160,4.15562e+16,1.4099,1.3090,1.8885,3.027e+15
3470,14213120,4.16763e+16,1.1991,1.3087,1.8881,3.03566e+15
3480,14254080,4.17964e+16,1.3538,1.3035,1.8806,3.04275e+15
3490,14295040,4.19165e+16,1.1830,1.2910,1.8626,3.04749e+15
3500,14336000,4.20366e+16,1.0361,1.2867,1.8563,3.05483e+15
3510,14376960,4.21567e+16,1.2878,1.2935,1.8662,3.06575e+15
3520,14417920,4.22768e+16,1.3664,1.2960,1.8697,3.07528e+15
3530,14458880,4.23969e+16,1.4040,1.2968,1.8709,3.08428e+15
3540,14499840,4.2517e+16,1.4427,1.2988,1.8738,3.09367e+15
3550,14540800,4.26372e+16,1.8554,1.3094,1.8890,3.10585e+15
3560,14581760,4.27573e+16,1.4088,1.3137,1.8953,3.11603e+15
3570,14622720,4.28774e+16,1.3026,1.3100,1.8900,3.12356e+15
3580,14663680,4.29975e+16,1.0916,1.3059,1.8840,3.13095e+15
3590,14704640,4.31176e+16,0.9733,1.2999,1.8754,3.13772e+15
3600,14745600,4.32377e+16,1.2900,1.2968,1.8708,3.14542e+15
3610,14786560,4.33578e+16,1.4201,1.3028,1.8796,3.15617e+15
3620,14827520,4.34779e+16,1.1790,1.3099,1.8898,3.16726e+15
3630,14868480,4.3598e+16,1.3769,1.3118,1.8925,3.17665e+15
